Year,SURVEY,COMPANY_NA,STATE,Site,PADD,Quantity,Parent Company,Lat,Long,CleanCoName
1980,70,Tesoro Alaska Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
1981,70,Tesoro Alaska Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
1982,70,Tesoro-Alaskan Petroleum,AK,Kenai,5,24000,Tesoro,60.5544,-151.2583,Tesoro
1983,70,Tesoro Alaska Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
1984,70,Tesoro-Alaskan Petroleum,AK,Kenai,5,28500,Tesoro,60.5544,-151.2583,Tesoro
1985,70,Tesoro Alaska Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
1986,70,Tesoro-Alaskan Petroleum,AK,Kenai,5,38000,Tesoro,60.5544,-151.2583,Tesoro
1987,70,Tesoro Alaska Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
1988,70,Tesoro-Alaskan Petroleum,AK,Kenai,5,38000,Tesoro,60.5544,-151.2583,Tesoro
1989,70,Tesoro Petroleum,AK,Kenai,5,38000,Tesoro,60.5544,-151.2583,Tesoro
1990,70,Tesoro-Alaskan Petroleum,AK,Kenai,5,38000,Tesoro,60.5544,-151.2583,Tesoro
1991,70,Tesoro Petroleum,AK,Kenai,5,38000,Tesoro,60.5544,-151.2583,Tesoro
1992,70,Tesoro Petroleum,AK,Kenai,5,38000,Tesoro,60.5544,-151.2583,Tesoro
1993,70,Tesoro Petroleum,AK,Kenai,5,48500,Tesoro,60.5544,-151.2583,Tesoro
1994,70,Tesoro Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
1995,70,Tesoro Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
1996,70,Tesoro Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
1997,70,Tesoro Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
1998,70,Tesoro Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
1999,70,Tesoro Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
2000,70,Tesoro Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
2001,70,Tesoro Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
2002,70,Tesoro Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
2003,70,Tesoro Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
2005,70,Tesoro Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
2006,70,Tesoro Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
2007,70,Tesoro Alaska Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
2008,70,Tesoro Alaska Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
2009,70,Tesoro Alaska Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
2010,70,Tesoro Alaska Petroleum,AK,Kenai,5,72000,Tesoro,60.5544,-151.2583,Tesoro
2011,70,Tesoro Alaska Petroleum,AK,Kenai,5,68000,Tesoro,60.5544,-151.2583,Tesoro
2012,70,Tesoro Alaska Petroleum,AK,Kenai,5,68000,Tesoro,60.5544,-151.2583,Tesoro
2013,70,Tesoro Alaska Petroleum,AK,Kenai,5,65000,Tesoro,60.5544,-151.2583,Tesoro
2014,70,Tesoro Alaska Petroleum,AK,Kenai,5,65000,Tesoro,60.5544,-151.2583,Tesoro
2015,70,Tesoro Alaska Petroleum,AK,Kenai,5,65000,Tesoro,60.5544,-151.2583,Tesoro
2016,70,Tesoro Alaska Petroleum,AK,Kenai,5,58500,Tesoro,60.5544,-151.2583,Tesoro
2017,70,Tesoro Alaska Petroleum,AK,Kenai,5,62700,Tesoro,60.5544,-151.2583,Tesoro
2018,70,Andeavor,AK,Kenai,5,62700,Andeavor,60.5544,-151.2583,Andeavor
2019,70,Marathon Petroleum,AK,Kenai,5,68000,Marathon,60.5544,-151.2583,Marathon
2020,70,Marathon Petroleum,AK,Kenai,5,68000,Marathon,60.5544,-151.2583,Marathon
2021,70,Marathon Petroleum,AK,Kenai,5,68000,Marathon,60.5544,-151.2583,Marathon
2022,70,Marathon Petroleum,AK,Kenai,5,68000,Marathon,60.5544,-151.2583,Marathon
2023,70,Marathon Petroleum,AK,Kenai,5,68000,Marathon,60.5544,-151.2583,Marathon
